trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,True,"{'a': 0.7, 'e': 1.2501528663867426e-09}",20,0,-45.179536618784354,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.7, 'e': 7.582560427911907e-10}",35,0,-70.32013140047616,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
23,True,"{'a': 0.7, 'e': 4.5990553786523166e-10}",20,0,-39.46307435612536,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.7, 'e': 2.7894680928689246e-10}",20,0,-37.296027020562676,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.7, 'e': 1.6918979226151304e-10}",30,0,-43.122847442617,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.7, 'e': 1.026187963170189e-10}",25,0,-29.982148469159988,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0.7, 'e': 6.224144622907783e-11}",30,0,-58.59363678370544,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.7, 'e': 3.775134544279098e-11}",25,0,-56.978736573961164,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.7, 'e': 2.289734845645553e-11}",30,0,-53.25525011322654,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.7, 'e': 1.3887943864964021e-11}",20,0,-36.41297388079513,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
